Age;Primary streaming service;Hours per day;While working;Fav genre;BPM;Frequency [Classical];Frequency [Pop];Anxiety;Depression
18;Spotify;3;Yes;Latin;156;Rarely;Very frequently;3;0
63;Pandora;3;Yes;Rock;119;Sometimes;Sometimes;7;2
18;Spotify;4;No;Video game music;132;Never;Rarely;7;7
61;YouTube Music;3;Yes;Jazz;84;Sometimes;Sometimes;9;7
18;Spotify;4;Yes;R&B;107;Never;Sometimes;7;2
18;Spotify;5;Yes;Jazz;86;Rarely;Very frequently;8;8
18;YouTube Music;3;Yes;Video game music;66;Sometimes;Rarely;4;8
21;Spotify;1;Yes;K pop;95;Never;Sometimes;5;3
19;Spotify;6;Yes;Rock;94;Never;Never;2;0
18;I do not use a streaming service.;1;Yes;R&B;155;Rarely;Sometimes;2;2
19;YouTube Music;8;Yes;EDM;125;Rarely;Rarely;1;0
19;Spotify;2;Yes;Country;88;Never;Rarely;2;1
18;Spotify;4;Yes;Jazz;148;Very frequently;Sometimes;6;4
16;Spotify;8;Yes;Hip hop;103;Never;Never;8;8
16;Spotify;12;Yes;Hip hop;120;Rarely;Sometimes;5;7
17;Spotify;24;Yes;Rap;99;Rarely;Rarely;7;5
15;Spotify;3;No;Hip hop;120;Never;Rarely;7;3
15;Apple Music;8;Yes;Hip hop;120;Rarely;Very frequently;6;9
17;Spotify;4;Yes;Rap;125;Never;Sometimes;10;10
19;I do not use a streaming service.;5;Yes;R&B;118;Rarely;Rarely;6;7
18;Spotify;2;Yes;Pop;79;Rarely;Very frequently;3;3
16;Other streaming service;3;Yes;Rock;84;Rarely;Never;10;6
18;Spotify;2;No;Pop;169;Sometimes;Very frequently;7;4
14;Spotify;12;Yes;Rock;136;Sometimes;Very frequently;8;6
18;YouTube Music;6;Yes;Pop;101;Sometimes;Very frequently;3;2
17;Spotify;2;Yes;Pop;126;Never;Very frequently;6;6
17;Apple Music;1;Yes;Pop;183;Rarely;Sometimes;8;2
19;Spotify;2;Yes;Classical;120;Very frequently;Very frequently;4;4
17;Spotify;4;No;Rock;142;Rarely;Very frequently;5;6
16;Spotify;1;Yes;Classical;75;Very frequently;Never;0;0
18;Spotify;5;Yes;Pop;120;Sometimes;Very frequently;3;2
